第0类：
		吃	0.025534994230295486
		做	0.005648962101469006
		里	0.004781885720953752
		做法	0.004522573158556666
		美食	0.0042551570785846725
		味道	0.004190328937985401
		美味	0.0032584244168708757
		喜欢	0.003193596276271604
		分钟	0.003193596276271604
		中	0.00292618019629961
		食物	0.0028856626084250653
		道	0.0028775590908501564
		天	0.0028613520557003386
		吃货	0.002828937985400703
		加入	0.00269928170420216
		加	0.0026020394933032533
		家	0.0025939359757283444
		鸡蛋	0.0025858324581534355
		放入	0.002464279694529802
		喝	0.002423762106655257
第1类：
		说	0.02194575446814796
		想	0.009641202971028252
		知道	0.007320087147348652
		视频	0.006106776603152497
		喜欢	0.006054023970796143
		听	0.005229764090228102
		时候	0.005137446983604481
		太	0.00486049566373362
		爱	0.004834119347555443
		笑	0.0048275252685108985
		简直	0.004511009474372771
		孩子	0.004141741047878289
		什	0.003937324597497415
		妈妈	0.003904354202274693
		话	0.003739502226161085
		里	0.0036867495938047307
		找	0.0036208088033592876
		女	0.0033966101158447804
		朋友	0.0032647285349538943
		逼	0.003198787744508451
第2类：
		月	0.012895981072204837
		关注	0.009273405647084955
		日	0.008976367376932524
		号	0.007103734804232407
		家	0.0070520759746406795
		视频	0.006819611241477906
		分享	0.0065936038620141
		新	0.0063094802992596
		支持	0.005954325845816474
		手机	0.005954325845816474
		请	0.005851008186633019
		送	0.005231102231532291
		发布	0.004798459533701575
		图片	0.004779087472604676
		戳	0.004708056581916051
		感谢	0.004682227167120188
		开始	0.004617653630130529
		直播	0.004230212408192574
		时间	0.004004205028728766
		链接	0.003952546199137039
第3类：
		时候	0.011289103418722026
		生	0.008189200234898263
		做	0.007415464400215852
		世界	0.007291468272862901
		喜欢	0.007271628892486429
		想	0.007212110751357013
		爱	0.007028596482874646
		说	0.006914520045709932
		知道	0.0067409254674158006
		走	0.005887832111227501
		时间	0.0056795186172745446
		努力	0.005069457670698029
		心	0.004995059994286258
		幸福	0.004871063866933307
		生命	0.004618111767133289
		时	0.004504035329968574
		事情	0.0044048384280862135
		爱情	0.004355239977145034
		事	0.004290761990921499
		东西	0.004112207567533251
第4类：
		电影	0.008520424451273103
		设计	0.00782412887511479
		作品	0.005794361582351403
		系列	0.005387094358560691
		拍摄	0.004276962732421493
		中	0.004230980949090283
		里	0.003620080113404215
		美	0.0032982076300857492
		摄影	0.003271932325325058
		喜欢	0.003173399932472467
		穿	0.0031274181491412574
		拍	0.0031274181491412574
		风格	0.003081436365810048
		时尚	0.0029106468848655556
		摄影师	0.002641325011068472
		新	0.0025690679229765714
		完美	0.0024836731825043255
		部	0.0023982784420320796
		空间	0.0023851407896517338
		搭配	0.002332590180130352
第5类：
		中国	0.008969300278963496
		年	0.008391226557965911
		公司	0.006914562993437431
		发展	0.004270304982537595
		市场	0.004201622956280456
		中	0.00398412987313285
		工作	0.003852489322806668
		月	0.003640719741847157
		问题	0.003606378728718588
		日	0.0034289501608876466
		投资	0.003388885645570982
		新	0.0033774386411947925
		企业	0.0032973096105614642
		技术	0.00301113450115672
		国家	0.0029767934880281506
		正	0.0029252819683352966
		理	0.0028508764398900628
		服务	0.0028165354267614936
		美国	0.0027192358895638804
		高	0.002639106858930552
第6类：
		中国	0.01741081007023521
		年	0.012014564047947098
		日	0.00954586227487637
		月	0.008731578443968224
		美国	0.006476141483754391
		北京	0.005409817419469914
		世界	0.005170702326266728
		杭州	0.004324105644925719
		里	0.004291792794492856
		中	0.003994514570510517
		奥运	0.003955739149991082
		天	0.003432270972978702
		国际	0.003393495552459266
		年月日	0.0032190061601218064
		约	0.0031608430293426533
		国家	0.0029992787771783384
		城市	0.002863564805360314
		文化	0.0027924765344080156
		次	0.0026826128429362816
		旅游	0.0024822731702525314
第7类：
		文章	0.009691952619299036
		头条	0.008116423871851393
		日	0.007885346322225737
		发布	0.007304151273167274
		月	0.005903681275436036
		时	0.004741291177319108
		发生	0.0041811031782266125
		请	0.0030817342300075903
		安全	0.0030187130801096846
		诈骗	0.0028366519804046237
		工作	0.002738619080563437
		中	0.002472529780994502
		电话	0.0023885015811306275
		司机	0.002374496881153315
		进行	0.0023534898311873467
		注意	0.0023394851312100342
		路	0.0022904686812894406
		行	0.002269461631323472
		事	0.0022484545813575034
		男子	0.0022344498813801914
第8类：
		做	0.012834458632248184
		太阳穴	0.009597875675812592
		动作	0.006973429061137644
		丰	0.0067342033643576224
		分钟	0.005643615629036933
		宝宝	0.005580291179889281
		效果	0.005270704984056311
		皮肤	0.005235524734529837
		想	0.004496739494473886
		健康	0.004137900949303853
		身体	0.004095684649872085
		运动	0.004018288100913842
		肌肤	0.0036313053561226297
		脂肪	0.0035890890566908614
		问题	0.00346947620830085
		天	0.0034061517591531974
		腿	0.0032443226113314174
		适合	0.0031880342120890596
		时	0.0031809981621837647
		需	0.0030684213636990483
第9类：
		学	0.010227536342241291
		孩子	0.007863453402774213
		学习	0.006738964513964028
		学生	0.006641567838555271
		年	0.005419682274336331
		开学	0.0047644682761319715
		分享	0.004560820682095481
		中	0.0043394646016210354
		学校	0.004020711845737834
		发表	0.0036311251441028085
		博文	0.003604562414445875
		教育	0.0031264332806210725
		英语	0.003091016307745161
		知识	0.002975911145898449
		篇	0.002825389011175826
		香港	0.002559761714606491
		课程	0.002471219282416713
		考试	0.0024358023095408013
		新生	0.002391531093445912
		先生	0.0022675716883802225
